environment,case,pc_firefox,pc_chrome,pc_internet explorer,android_chrome,instanceID
TestingNewUI,test_643,1,0,0,0,7550165
TestingNewUI,test_645,1,0,0,0,7550140
TestingNewUI,test_364,1,0,0,0,7550163
TestingNewUI,test_16,1,0,0,0,7550146
TestingNewUI,test_1555,1,0,0,0,7550153
TestingNewUI,test_1557,1,0,0,0,7550154
TestingNewUI,test_345,1,0,0,0,7550145
TestingNewUI,test_732,1,0,0,0,7550142
TestingNewUI,test_1594,1,0,0,0,7550159
TestingNewUI,test_933,1,0,0,0,7550143
TestingNewUI,test_356,1,0,0,0,7550161
TestingNewUI,test_869,1,0,0,0,7550147
TestingNewUI,test_358,1,0,0,0,7550162
TestingNewUI,test_876,1,0,0,0,7550148
TestingNewUI,test_302,1,0,0,0,7550144
TestingNewUI,test_883,1,0,0,0,7550149
TestingNewUI,test_1589,1,0,0,0,7550155
TestingNewUI,test_1590,1,0,0,0,7550156
TestingNewUI,test_649,1,0,0,0,7550141
TestingNewUI,test_1592,1,0,0,0,7550157
TestingNewUI,test_1593,1,0,0,0,7550158
TestingNewUI,test_1786,1,0,0,0,7550164
TestingNewUI,test_1598,1,0,0,0,7550160
TestingNewUI,test_1021,1,0,0,0,7550152
TestingNewUI,test_894,1,0,0,0,7550150
TestingNewUI,test_767,1,0,0,0,7550151
